Timestamp,Temperature,Humidity
20250206181618,20.2,53.5
20250206181628,20.2,53.5
20250206181638,20.2,53.5
20250206181648,20.2,53.5
20250206181658,20.2,53.3
20250206181708,20.2,53.3
20250206181718,20.2,53.3
20250206181728,20.2,53.3
20250206181738,20.2,53.4
20250206181748,20.2,53.4
20250206181758,20.2,53.4
20250206181808,20.2,53.4
20250206181818,20.2,53.2
20250206181828,20.2,53.2
20250206181838,20.2,53.3
20250206181848,20.2,53.3
20250206181858,20.2,53.2
20250206181908,20.2,53.2
20250206181918,20.2,53.1
20250206181928,20.2,53.1
20250206181938,20.2,53.1
20250206181948,20.2,53.1
20250206181958,20.2,53.3
20250206182008,20.2,53.3
20250206182018,20.2,53.7
20250206182028,20.2,53.7
20250206182038,20.2,53.9
20250206182048,20.2,53.9
20250206182058,20.2,54.1
20250206182108,20.2,54.1
20250206182118,20.2,54.3
20250206182128,20.2,54.3
20250206182138,20.2,54.5
20250206182148,20.2,54.5
20250206182158,20.2,54.8
20250206182208,20.2,54.8
20250206182218,20.2,54.8
20250206182228,20.2,54.8
20250206182238,20.2,54.8
20250206182248,20.2,54.8
20250206182258,20.1,54.8
20250206182308,20.1,54.8
20250206182318,20.1,54.8
20250206182328,20.1,54.8
20250206182338,20.1,54.8
20250206182348,20.1,54.8
20250206182358,20.1,54.9
20250206182408,20.1,54.9
20250206182418,20.1,55.0
20250206182428,20.1,55.0
20250206182438,20.0,55.1
20250206182448,20.0,55.1
20250206182458,20.0,55.1
20250206182508,20.0,55.1
20250206182518,20.0,55.3
20250206182528,20.0,55.3
20250206182538,20.0,55.4
20250206182548,20.0,55.4
20250206182558,20.0,55.4
20250206182608,20.0,55.4
20250206182618,20.0,55.5
20250206182628,20.0,55.5
20250206182638,20.0,55.6
20250206182648,20.0,55.6
20250206182658,20.0,55.7
20250206182708,20.0,55.7
20250206182718,20.0,55.8
20250206182728,20.0,55.8
20250206182738,20.0,55.9
20250206182748,20.0,55.9
20250206182758,19.9,55.8
20250206182808,19.9,55.8
20250206182818,19.9,56.0
20250206182828,19.9,56.0
20250206182838,19.9,56.0
20250206182848,19.9,56.0
20250206182858,19.9,56.1
20250206182908,19.9,56.1
20250206182918,19.9,56.0
20250206182928,19.9,56.0
20250206182938,19.9,55.8
20250206182948,19.9,55.8
20250206182958,19.9,55.7
20250206183008,19.9,55.7
20250206183018,19.9,55.5
20250206183028,19.9,55.5
20250206183038,19.9,55.5
20250206183048,19.9,55.5
20250206183058,19.9,55.6
20250206183108,19.9,55.6
20250206183118,19.9,55.5
20250206183128,19.9,55.5
20250206183138,19.9,55.6
20250206183148,19.9,55.6
20250206183158,19.8,55.6
20250206183208,19.8,55.6
20250206183218,19.8,55.7
20250206183228,19.8,55.7
20250206183238,19.8,55.7
20250206183248,19.8,55.7
20250206183258,19.8,55.7
20250206183308,19.8,55.7
20250206183318,19.8,55.7
20250206183328,19.8,55.7
20250206183338,19.8,55.8
20250206183348,19.8,55.8
20250206183358,19.8,56.1
20250206183408,19.8,56.1
20250206183418,19.8,56.4
20250206183428,19.8,56.4
20250206183438,19.8,56.5
20250206183448,19.8,56.5
20250206183458,19.8,56.7
20250206183508,19.8,56.7
20250206183518,19.8,56.7
20250206183528,19.8,56.7
20250206183538,19.8,56.6
20250206183549,19.8,56.6
20250206183559,19.8,56.5
20250206183609,19.8,56.5
20250206183619,19.8,56.3
20250206183629,19.8,56.3
20250206183639,19.8,56.3
20250206183649,19.8,56.3
20250206183659,19.7,56.2
20250206183709,19.7,56.2
20250206183719,19.8,56.3
20250206183729,19.8,56.3
20250206183739,19.7,56.3
20250206183749,19.7,56.3
20250206183759,19.8,56.4
20250206183809,19.8,56.4
20250206183819,19.7,56.5
20250206183829,19.7,56.5
20250206183839,19.7,56.5
20250206183849,19.7,56.5
20250206183859,19.7,56.5
20250206183909,19.7,56.5
20250206183919,19.7,56.4
20250206183929,19.7,56.4
20250206183939,19.7,56.4
20250206183949,19.7,56.4
20250206183959,19.7,56.6
20250206184009,19.7,56.6
20250206184019,19.7,56.7
20250206184029,19.7,56.7
20250206184039,19.7,56.7
20250206184049,19.7,56.7
20250206184059,19.7,56.5
20250206184109,19.7,56.5
20250206184119,19.7,56.5
20250206211012,19.2,56.4
20250206211022,19.2,56.4
20250206211454,19.1,56.5
20250206211504,19.1,56.5
20250206211514,19.1,56.7
20250206211524,19.1,56.7
20250207022915,23.5,54.7
20250207022918,23.5,54.6
20250207022919,23.5,54.5
20250207022922,23.4,54.4
20250207022923,23.4,54.3
20250207022926,23.4,54.5
20250207022927,23.5,54.9
20250207022930,23.4,55.0
20250207022931,23.4,54.8
20250207022939,23.5,54.4
20250207022941,23.5,54.5
20250207022943,23.5,54.6
20250207023131,23.1,51.1
20250207023133,23.1,51.3
20250207023135,23.0,51.2
20250207023137,23.0,51.3
20250207023139,23.0,51.2
20250207023141,23.0,51.1
20250207023143,23.0,51.1
20250207023145,23.0,51.1
20250207023147,23.0,51.1
20250207023149,23.0,51.2
20250207023151,23.0,51.1
20250207023153,22.9,51.1
20250207023155,22.9,51.2
20250207023157,22.9,51.2
20250207023159,22.9,51.1
20250207023201,22.9,51.1
20250207023203,22.9,51.1
20250207023204,22.9,51.0
20250207023206,22.8,51.1
20250207023208,22.8,51.1
20250207023210,22.8,51.1
20250207023212,22.8,51.1
20250207023214,22.8,51.1
20250207023216,22.8,51.2
20250207023218,22.8,51.1
20250207023220,22.8,51.2
